index,name,role,age,market_value,nationality,from_club,from_league,to_club,to_league,transfer_values
2249,Eric Smith,Defensive Midfield,21,750 Th. €,Sweden,Norrköping,Allsvenskan,KAA Gent,Jupiler Pro League,?
2250,Oliver Bozanic,Central Midfield,29,750 Th. €,Australia,Melbourne City,A-League,Heart of Midl.,Premiership,Free Transfer
2251,Alexandros Katranis,Left-Back,20,750 Th. €,Greece,Saint-Étienne,Ligue 1,Mouscron,Jupiler Pro League,Loan
2252,Jean-Luc Dompé,Right Winger,23,750 Th. €,France,Standard Liège,Jupiler Pro League,KAA Gent,Jupiler Pro League,ablösefrei 
2253,Henrik Björdal,Right Winger,21,750 Th. €,Norway,Brighton U23,Premier League 2,Zulte Waregem,Jupiler Pro League,?
2254,Jason Steele,Goalkeeper,28,750 Th. €,England,Sunderland,League One,Brighton,Premier League,Free Transfer
2255,Lior Inbrum,Left Winger,22,750 Th. €,Israel,KAA Gent,Jupiler Pro League,B. Jerusalem,Ligat ha'Al,Loan
2256,Claudio Corvalán,Left-Back,29,750 Th. €,Argentina,Arsenal FC,Primera B Nacional,Unión Santa Fé,Primera División,Free Transfer
2257,Valerica Gaman,Centre-Back,29,750 Th. €,Romania,FCSB,Liga 1,Shabab,Professional League,75 Th. €
2258,Sebastián Ubilla,Right Winger,28,750 Th. €,Chile,Shabab,Professional League,U. de Chile,Primera División,Free Transfer
2259,Tomás De Vincenti,Attacking Midfield,29,750 Th. €,Argentina,Attacking Midfield,Without Club,APOEL Nicosia,First Division,-
2260,Joshua Mees,Left Winger,22,750 Th. €,Germany,TSG Hoffenheim,1.Bundesliga,Union Berlin,2.Bundesliga,500 Th. €
2261,Fabrice Ondoa,Goalkeeper,22,300 Th. €,Cameroon,Sevilla Atl.,2ª B - Grupo IV,KV Oostende,Jupiler Pro League,750 Th. €
2262,Daniel Cataño,Attacking Midfield,26,750 Th. €,Colombia,Indep. Medellín,Liga Águila II,Deportes Tolima,Liga Águila II,?
2263,Pablo Marí,Centre-Back,24,750 Th. €,Spain,Man City,Premier League,Dep. La Coruña,LaLiga2,Loan
2264,Tsiy William Ndenge,Central Midfield,21,750 Th. €,Germany,Bor. M'gladbach,1.Bundesliga,M'gladbach II,Regionalliga West,-
2265,Donyell Malen,Centre-Forward,19,750 Th. €,Netherlands,PSV U21,Keuken Kampioen Divisie,PSV Eindhoven,Eredivisie,-
2266,Joseph Amoah,Central Midfield,24,750 Th. €,Ghana,Guimarães B,Ledman Liga Pro,Vit. Guimarães,Liga NOS,-
2267,Gift Motupa,Second Striker,23,750 Th. €,South Africa,Orlando Pirates,ABSA Premiership,Chippa United,ABSA Premiership,?
2268,Mauricio Gómez,Left Midfield,24,750 Th. €,Colombia,Indep. Medellín,Liga Águila II,Rionegro Águila,Liga Águila II,?
2269,Abdou Diakhate,Central Midfield,19,750 Th. €,Senegal,Fiorentina U19,Primavera 1,Fiorentina,Serie A,-
2270,Róbinson Aponzá,Left Winger,29,750 Th. €,Colombia,Rosario,Torneo Verano,Jaguares FC,Liga Águila II,?
2271,Reece James,Left-Back,24,750 Th. €,England,Wigan,Championship,Sunderland,League One,Free Transfer
2272,Chiquinho,Attacking Midfield,23,750 Th. €,Portugal,Coimbra,Ledman Liga Pro,Benfica,Liga NOS,600 Th. €
2273,Nemanja Stevanovic,Goalkeeper,26,750 Th. €,Serbia,Partizan,SuperLiga,Cukaricki,SuperLiga,Loan
2274,Adam Federici,Goalkeeper,33,750 Th. €,Australia,Bournemouth,Premier League,Stoke City,Championship,?
2275,Gift Motupa,Second Striker,23,750 Th. €,South Africa,Chippa United,ABSA Premiership,Bidvest Wits FC,ABSA Premiership,?
2276,John Bostock,Central Midfield,26,750 Th. €,Trinidad and Tobago,Bursaspor,Süper Lig,Toulouse,Ligue 1,700 Th. €
2277,Piotr Parzyszek,Centre-Forward,24,750 Th. €,Poland,PEC Zwolle,Eredivisie,Piast Gliwice,Ekstraklasa,Free Transfer
2278,Aleksandr Dovbnya,Goalkeeper,31,750 Th. €,Russia,SKA Khabarovsk,1.Division,Orenburg,Premier Liga,?
2279,Michael Ortega,Attacking Midfield,27,750 Th. €,Colombia,Deportivo Pasto,Liga Águila II,Baniyas SC,UAE Gulf League,?
2280,Simone Palombi,Centre-Forward,22,750 Th. €,Italy,Lazio,Serie A,Lecce,Serie B,Loan
2281,Pedro Nuno,Attacking Midfield,23,750 Th. €,Portugal,Benfica,Liga NOS,Moreirense ,Liga NOS,Free Transfer
2282,Fausto Grillo,Centre-Back,25,750 Th. €,Argentina,Vélez Sarsfield,Primera División,Göztepe,Süper Lig,Free Transfer
2283,Jordy Buijs,Centre-Back,29,750 Th. €,Netherlands,Sydney FC,A-League,V-V. Nagasaki,J1 League,Free Transfer
2284,Rui Costa,Centre-Forward,22,750 Th. €,Portugal,Portimonense,Liga NOS,Porto B,Ledman Liga Pro,?
2285,Romario Ibarra,Left Winger,23,750 Th. €,Ecuador,Uni. Católica,Serie A Segunda Etapa,Minnesota Utd.,MLS,?
2286,Dmytro Khliobas,Centre-Forward,24,750 Th. €,Ukraine,Dynamo Kyiv,Premier Liga,Desna,Premier Liga,Free Transfer
2287,Davor Lovren,Left Winger,19,500 Th. €,Croatia,Din. Zagreb II,2.HNL,F. Düsseldorf,1.Bundesliga,750 Th. €
2288,Francesco Di Mariano,Left Winger,22,750 Th. €,Italy,Novara,Serie C - A,Venezia,Serie B,?
2289,Ben Amos,Goalkeeper,28,750 Th. €,England,Bolton,Championship,Millwall,Championship,Loan
2290,Jonás Gutiérrez,Central Midfield,35,750 Th. €,Argentina,Independiente,Primera División,Defensa,Primera División,Loan
2291,Gevorg Ghazaryan,Left Midfield,30,750 Th. €,Armenia,Marítimo,Liga NOS,Chaves,Liga NOS,Free Transfer
2292,Luis Luna,Defensive Midfield,30,750 Th. €,Ecuador,Delfín SC,Serie A Segunda Etapa,Indep. Medellín,Liga Águila II,?
2293,Nicolás Bertolo,Left Winger,32,750 Th. €,Argentina,River Plate,Primera División,CA Banfield,Primera División,Free Transfer
2294,Ahmed Kashi,Defensive Midfield,29,750 Th. €,Algeria,Charlton,League One,Troyes,Ligue 2,Free Transfer
2295,Adrián Balboa,Centre-Forward,24,750 Th. €,Uruguay,Patronato,Primera División,Belgrano,Primera División,Free Transfer
2296,Jonathan Barboza,Defensive Midfield,27,750 Th. €,Uruguay,CA Cerro,Primera División,Indep. Medellín,Liga Águila II,?
2297,Ricardinho,Left Winger,28,750 Th. €,Brazil,Tosno,Tosno,Wisla Plock,Ekstraklasa,Free Transfer
2298,Alessandro Salvi,Right-Back,30,750 Th. €,Italy,Cittadella,Serie B,US Palermo,Serie B,?
2299,Glenn Loovens,Centre-Back,34,750 Th. €,Netherlands,Sheff Wed,Championship,Sunderland,League One,Free Transfer
2300,Chris Long,Centre-Forward,23,750 Th. €,England,Burnley,Premier League,Fleetwood Town,League One,Free Transfer
2301,Danny,Attacking Midfield,35,750 Th. €,Portugal,Slavia Prag,HET Liga,Marítimo,Liga NOS,Free Transfer
2302,Mitch Nichols,Attacking Midfield,29,750 Th. €,Australia,Attacking Midfield,Without Club,Wellington P.,A-League,-
2303,Boris Kleyman,Goalkeeper,27,750 Th. €,Israel,B. Jerusalem,Ligat ha'Al,En. Paralimni,First Division,?
2304,Diego Vera,Centre-Forward,33,750 Th. €,Uruguay,Colón,Primera División,Tigre,Primera División,Free Transfer
2305,Aleksandar Susnjar,Centre-Back,23,750 Th. €,Australia,Mladá Boleslav,HET Liga,MSK Zilina,Fortuna Liga,Loan
2306,Riccardo Brosco,Centre-Back,27,750 Th. €,Italy,Hellas Verona,Serie B,Ascoli,Serie B,200 Th. €
2307,Chiquinho,Attacking Midfield,23,750 Th. €,Portugal,Benfica,Liga NOS,Moreirense ,Liga NOS,?
2308,Riccardo Fiamozzi,Right-Back,25,750 Th. €,Italy,Genoa,Serie A,Lecce,Serie B,?
2309,Tommie Hoban,Centre-Back,24,750 Th. €,Ireland,Watford,Premier League,Aberdeen FC,Premiership,Loan
2310,Sean Murray,Central Midfield,24,750 Th. €,Ireland,Colchester Utd.,League Two,Vejle BK,Superligaen,Free Transfer
2311,Rajko Rotman,Defensive Midfield,29,750 Th. €,Slovenia,Göztepe,Süper Lig,Kayserispor,Süper Lig,Free Transfer
2312,Loum N'Diaye,Defensive Midfield,21,750 Th. €,Senegal,Braga B,Ledman Liga Pro,Moreirense ,Liga NOS,Loan
2313,Gonzalo Maroni,Attacking Midfield,19,750 Th. €,Argentina,Boca Juniors,Primera División,CA Talleres,Primera División,Loan
2314,Erik Bakker,Central Midfield,28,750 Th. €,Netherlands,PEC Zwolle,Eredivisie,De Graafschap,Eredivisie,Free Transfer
2315,Joaquín Varela,Centre-Back,22,750 Th. €,Argentina,Newell's,Primera División,CD Godoy Cruz,Primera División,690 Th. €
2316,Claudio Aquino,Attacking Midfield,27,750 Th. €,Argentina,Unión Santa Fé,Primera División,Guaraní,Guaraní,Free Transfer
2317,Mustapha Carayol,Right Winger,29,750 Th. €,The Gambia,Ipswich,Championship,Apol. Limassol,First Division,Free Transfer
2318,Ariel Harush,Goalkeeper,30,750 Th. €,Israel,Anorthosis,First Division,H. Beer Sheva,Ligat ha'Al,Free Transfer
2319,Omri Ben Harush,Left-Back,28,750 Th. €,Israel,Maccabi Haifa,Ligat ha'Al,KSC Lokeren,Jupiler Pro League,?
2320,Omar Bogle,Centre-Forward,26,750 Th. €,England,Cardiff,Premier League,Birmingham,Championship,Loan
2321,Alan Aguerre,Goalkeeper,28,750 Th. €,Argentina,Vélez Sarsfield,Primera División,Newell's,Primera División,Free Transfer
2322,Philipp Ochs,Left Midfield,21,750 Th. €,Germany,TSG Hoffenheim,1.Bundesliga,Aalborg BK,Superligaen,Loan
2323,Max Power,Central Midfield,25,750 Th. €,England,Wigan,Championship,Sunderland,League One,Loan
2324,Dan Burn,Centre-Back,26,750 Th. €,England,Brighton,Premier League,Wigan,Championship,Loan
2325,Konstantinos Giannoulis,Left-Back,30,750 Th. €,Greece,Asteras Tripoli,Super League,Pafos FC,First Division,Free Transfer
2326,Takayuki Seto,Defensive Midfield,32,750 Th. €,Japan,Astra Giurgiu,Liga 1,Ventforet Kofu,J2 League,Free Transfer
2327,Alexandru Stan,Left-Back,29,750 Th. €,Romania,Astra Giurgiu,Liga 1,FCSB,Liga 1,300 Th. €
2328,Antonio Vutov,Attacking Midfield,22,750 Th. €,Bulgaria,Udinese Calcio,Serie A,Botev Plovdiv,Parva Liga,150 Th. €
2329,Robert Hodorogea,Centre-Back,23,750 Th. €,Romania,FC Viitorul,Liga 1,FC Voluntari,Liga 1,Loan
2330,Taiseer Al-Jassam,Central Midfield,34,750 Th. €,Saudi Arabia,Ahli,Professional League,Al-Wahda,Professional League,Loan
2331,Josh Sims,Right Winger,21,750 Th. €,England,Southampton,Premier League,Reading,Championship,Loan
2332,Agustín Rogel,Centre-Back,20,750 Th. €,Uruguay,Nacional,Primera División,KS Samara,Premier Liga,Free Transfer
2333,Georgios Manthatis,Right Winger,21,750 Th. €,Greece,Olympiacos,Super League,Panionios,Super League,Loan
2334,Stephen Quinn,Central Midfield,32,750 Th. €,Ireland,Central Midfield,Without Club,Burton Albion,League One,-
2335,Patricio Rodríguez,Right Winger,28,750 Th. €,Argentina,Newcastle,A-League,Moreirense ,Liga NOS,Free Transfer
2336,Tom Bradshaw,Centre-Forward,26,750 Th. €,Wales,Barnsley FC,League One,Millwall,Championship,Loan
2337,Liam Feeney,Right Winger,31,750 Th. €,England,Right Winger,Without Club,Blackpool,League One,-
2338,Hristo Zlatinski,Defensive Midfield,33,750 Th. €,Bulgaria,CS U Craiova,Liga 1,FCSB,Liga 1,Free Transfer
2339,Cauley Woodrow,Centre-Forward,23,750 Th. €,England,Fulham,Premier League,Barnsley FC,League One,Loan
2340,Stuart O'Keefe,Central Midfield,27,750 Th. €,England,Cardiff,Premier League,Plymouth,League One,Loan
2341,Danny Blum,Left Winger,27,750 Th. €,Germany,E. Frankfurt,1.Bundesliga,UD Las Palmas,LaLiga2,Loan fee:100 Th. €
2342,Ahmed Tawfik,Defensive Midfield,26,400 Th. €,Egypt,Zamalek,Premier League,Pyramids FC,Premier League,730 Th. €
2343,Ivan Toney,Centre-Forward,22,500 Th. €,England,Newcastle,Premier League,Peterborough,League One,720 Th. €
2344,Sindrit Guri,Centre-Forward,24,625 Th. €,Albania,FK Kukësi,Kategoria Superiore,KV Oostende,Jupiler Pro League,710 Th. €
2345,Francesco Nicastro,Right Winger,26,700 Th. €,Italy,Pescara,Serie B,Foggia,Serie B,400 Th. €
2346,Michele Camporese,Centre-Back,26,700 Th. €,Italy,Benevento,Serie B,Foggia,Serie B,100 Th. €
2347,Maximilian Sax,Right Winger,25,700 Th. €,Austria,Admira Wacker,Bundesliga,Austria Vienna,Bundesliga,Free Transfer
2348,Markus Lackner,Defensive Midfield,27,700 Th. €,Austria,Admira Wacker,Bundesliga,Sturm Graz,Bundesliga,Free Transfer
2349,Bram Castro,Goalkeeper,35,700 Th. €,Belgium,Heracles Almelo,Eredivisie,KV Mechelen,Proximus League,Free Transfer
2350,Milan Massop,Left-Back,24,700 Th. €,Netherlands,SBV Excelsior,Eredivisie,Waasl.-Beveren,Jupiler Pro League,Free Transfer
2351,Zauri Makharadze,Goalkeeper,25,700 Th. €,Georgia,Olimpik Donetsk,Premier Liga,Zorya Lugansk,Premier Liga,Free Transfer
2352,Cédric Brunner,Right-Back,24,700 Th. €,Switzerland,FC Zürich,Super League,Arm. Bielefeld,2.Bundesliga,Free Transfer
2353,Anastasios Avlonitis,Centre-Back,28,700 Th. €,Greece,Panathinaikos,Super League,Sturm Graz,Bundesliga,Free Transfer
2354,Erdogan Yesilyurt,Left Midfield,24,700 Th. €,Turkey,Altinordu,1.Lig,Sivasspor,Süper Lig,Free Transfer
2355,Mario Maloca,Centre-Back,29,700 Th. €,Croatia,Lechia Gdansk,Ekstraklasa,Greuther Fürth,2.Bundesliga,Free Transfer
2356,Mike Vanhamel,Goalkeeper,28,700 Th. €,Belgium,KV Oostende,Jupiler Pro League,KFCO Beerschot,Proximus League,?
2357,Leon Guwara,Left-Back,22,700 Th. €,Germany,Werder Bremen,1.Bundesliga,FC Utrecht,Eredivisie,600 Th. €
2358,Bruno Moreira,Centre-Forward,30,700 Th. €,Portugal,Paços Ferreira,Ledman Liga Pro,Rio Ave FC,Liga NOS,Free Transfer
2359,Valentinos Vlachos,Right-Back,26,700 Th. €,Greece,Panionios,Super League,Asteras Tripoli,Super League,Free Transfer
2360,Víctor Aquino,Centre-Forward,32,700 Th. €,Paraguay,Deportivo Pasto,Liga Águila II,Táchira,Táchira,?
2361,Michel Babatunde,Right Winger,25,700 Th. €,Nigeria,Qatar SC,Stars League,Wydad AC,Botola Pro,Free Transfer
2362,Thomas Ebner,Defensive Midfield,26,700 Th. €,Austria,Admira Wacker,Bundesliga,Austria Vienna,Bundesliga,Free Transfer
2363,Jimmy Roye,Central Midfield,29,700 Th. €,France,FC Niort,Ligue 2,G. Ajaccio,Ligue 2,Free Transfer
2364,Fábio Pacheco,Defensive Midfield,30,700 Th. €,Portugal,Marítimo,Liga NOS,Moreirense ,Liga NOS,Free Transfer
2365,Kenneth Paal,Left-Back,21,700 Th. €,Netherlands,PSV Eindhoven,Eredivisie,PEC Zwolle,Eredivisie,Loan
2366,Rodrigo Millar,Central Midfield,36,700 Th. €,Chile,Atlas,Liga MX Apertura,Morelia,Liga MX Apertura,?
2367,Nika Kacharava,Centre-Forward,24,700 Th. €,Georgia,Rostov,Premier Liga,Anorthosis,First Division,Free Transfer
2368,Dorukhan Toköz,Defensive Midfield,22,700 Th. €,Turkey,Eskisehirspor,1.Lig,Besiktas,Süper Lig,Free Transfer
2369,Gael Acosta,Left Winger,26,700 Th. €,Mexico,Monterrey II,Monterrey II,Querétaro FC,Liga MX Apertura,?
2370,Giovani Hernández,Attacking Midfield,25,700 Th. €,Mexico,Chivas,Liga MX Apertura,Necaxa,Liga MX Apertura,?
2371,Christian Tabó,Left Winger,24,700 Th. €,Uruguay,Atlas,Liga MX Apertura,Puebla FC,Liga MX Apertura,?
2372,Jorge Zárate,Right Winger,26,700 Th. €,Mexico,Morelia,Liga MX Apertura,Lobos,Liga MX Apertura,Loan
2373,Emanuel Loeschbor,Centre-Back,31,700 Th. €,Argentina,CD Cruz Azul,Liga MX Apertura,Morelia,Liga MX Apertura,?
2374,Richard Ruiz,Right-Back,32,700 Th. €,Mexico,CD Cruz Azul,Liga MX Apertura,Toluca,Liga MX Apertura,Loan
2375,Yannick Gomis,Centre-Forward,26,700 Th. €,Senegal,US Orléans,Ligue 2,Lens,Ligue 2,600 Th. €
2376,Ken Reichel,Left-Back,31,700 Th. €,Germany,E. Braunschweig,3.Liga,Union Berlin,2.Bundesliga,Free Transfer
2377,Alexandre Oukidja,Goalkeeper,30,700 Th. €,France,R. Strasbourg,Ligue 1,FC Metz,Ligue 2,Free Transfer
2378,Steve Breitkreuz,Centre-Back,26,700 Th. €,Germany,E. Braunschweig,3.Liga,Erzgebirge Aue,2.Bundesliga,Free Transfer
2379,Marvin Schwäbe,Goalkeeper,23,700 Th. €,Germany,TSG Hoffenheim,1.Bundesliga,Bröndby IF,Superligaen,700 Th. €
2380,Mounir Obbadi,Central Midfield,35,700 Th. €,Morocco,Raja Casablanca,Botola Pro,Stade Laval,Championnat National,Free Transfer
2381,Diego Arias,Defensive Midfield,33,700 Th. €,Colombia,Atl. Nacional,Liga Águila II,Once Caldas,Liga Águila II,Free Transfer
2382,Maksim Zhitnev,Centre-Forward,28,700 Th. €,Russia,Kuban Krasnodar,Kuban Krasnodar,Sibir,1.Division,Free Transfer
2383,Stanislav Mykytsey,Right-Back,28,700 Th. €,Ukraine,Right-Back,Without Club,FK Oleksandria,Premier Liga,-
2384,Visar Musliu,Centre-Back,23,700 Th. €,Macedonia,FC Prishtina,IPKO Superliga,Shkendija,Prva liga,ablösefrei 
2385,Mikhail Kostyukov,Right Winger,27,700 Th. €,Russia,Amkar Perm,Amkar Perm,Enisey,Premier Liga,Free Transfer
2386,Radoslaw Majewski,Attacking Midfield,31,700 Th. €,Poland,Lech Poznan,Ekstraklasa,Pogon Szczecin,Ekstraklasa,Free Transfer
2387,Mohamed Said,Left Winger,18,-,Sweden,Örgryte,Superettan,Empoli U19,Primavera 1,700 Th. €
2388,Matthew Spiranovic,Centre-Back,30,700 Th. €,Australia,Centre-Back,Without Club,Perth Glory,A-League,-
2389,Jorginho,Left Winger,22,700 Th. €,Portugal,Saint-Étienne,Ligue 1,CSKA Sofia,Parva Liga,Loan
2390,Jossymar Gómez,Right Midfield,31,700 Th. €,Colombia,Right Midfield,Unknown,Boyacá Chicó,Liga Águila II,?
2391,Benjamin Leroy,Goalkeeper,29,700 Th. €,France,Dijon,Ligue 1,AC Ajaccio,Ligue 2,?
2392,Lukas Julis,Centre-Forward,23,700 Th. €,Czech Republic,Sparta Praha,HET Liga,Bohemians 1905,HET Liga,Loan
2393,Arturo Calabresi,Centre-Back,22,700 Th. €,Italy,AS Roma,Serie A,Bologna,Serie A,200 Th. €
2394,Robin van der Meer,Left-Back,23,700 Th. €,Netherlands,FC Utrecht,Eredivisie,SBV Excelsior,Eredivisie,Free Transfer
2395,Stefan Thesker,Centre-Back,27,700 Th. €,Germany,FC Twente,Keuken Kampioen Divisie,Holstein Kiel,2.Bundesliga,ablösefrei 
2396,Alberto Almici,Right-Back,25,700 Th. €,Italy,Atalanta,Serie A,Hellas Verona,Serie B,Loan
2397,Marc Valiente,Centre-Back,31,700 Th. €,Spain,KAS Eupen,Jupiler Pro League,Partizan,SuperLiga,Free Transfer
2398,Matheus Reis,Left-Back,23,700 Th. €,Brazil,São Paulo,Série A,Rio Ave FC,Liga NOS,?
2399,Volodymyr Adamyuk,Centre-Back,27,700 Th. €,Ukraine,Veres Rivne,Veres Rivne,FK Lviv,Premier Liga,Free Transfer
2400,Majeed Ashimeru,Central Midfield,20,700 Th. €,Ghana,RB Salzburg,Bundesliga,FC St. Gallen,Super League,Loan
2401,Igor Golban,Centre-Back,28,700 Th. €,Russia,Nasaf Qarshi,Superliga,Navbahor,Superliga,?
2402,Álvaro Vadillo,Left Winger,23,700 Th. €,Spain,SD Huesca,LaLiga,Granada CF,LaLiga2,Free Transfer
2403,José Contreras,Goalkeeper,23,700 Th. €,Venezuela,Táchira,Táchira,LB Châteauroux,Ligue 2,Loan
2404,Eduardo Henrique,Defensive Midfield,23,700 Th. €,Brazil,Coimbra-MG,Coimbra-MG,Belenenses,Liga NOS,Loan
2405,Henrique Almeida,Centre-Forward,27,700 Th. €,Brazil,Grêmio,Série A,Belenenses,Liga NOS,Loan
2406,Michele Somma,Centre-Back,23,700 Th. €,Italy,Brescia,Serie B,Bari,Serie D - H,?
2407,David Atanga,Right Midfield,21,700 Th. €,Ghana,RB Salzburg,Bundesliga,Greuther Fürth,2.Bundesliga,Loan fee:50 Th. €
2408,Luan Peres,Centre-Back,24,700 Th. €,Brazil,Ituano,Ituano,Club Brugge,Jupiler Pro League,500 Th. €
2409,Ricardo Batista,Goalkeeper,31,700 Th. €,Portugal,C.R.D. Libolo,C.R.D. Libolo,Gaz Metan,Liga 1,Free Transfer
2410,Roger,Defensive Midfield,33,700 Th. €,Brazil,Atlético-MG,Série A,Hapoel Tel Aviv,Ligat ha'Al,Free Transfer
2411,David Ramírez,Left Winger,22,700 Th. €,Mexico,CF Pachuca,Liga MX Apertura,Min. Zacatecas,Ascenso MX Apertura,Loan
2412,Masaya Okugawa,Left Midfield,22,700 Th. €,Japan,FC Liefering,2. Liga,RB Salzburg,Bundesliga,-
2413,Érik Pimentel,Centre-Back,28,700 Th. €,Mexico,América,Liga MX Apertura,Puebla FC,Liga MX Apertura,Free Transfer
2414,Andrés Iniestra,Right Midfield,22,700 Th. €,Mexico,UNAM II,UNAM II,UNAM Pumas,Liga MX Apertura,-
2415,Francisco Uscanga,Defensive Midfield,27,700 Th. €,Mexico,Atlante,Ascenso MX Apertura,Querétaro FC,Liga MX Apertura,?
2416,Armando Zamorano,Central Midfield,24,700 Th. €,Mexico,Querétaro FC,Liga MX Apertura,Cimarrones,Ascenso MX Apertura,?
2417,Humberto Hernández,Goalkeeper,33,700 Th. €,Mexico,Tampico Madero,Ascenso MX Apertura,Correcaminos,Ascenso MX Apertura,?
2418,Jesús Angulo,Central Midfield,21,700 Th. €,Mexico,Dorados de Sin.,Ascenso MX Apertura,Club Tijuana,Liga MX Apertura,?
2419,Roberto Ramírez,Forward,25,700 Th. €,Mexico,UNAM II,UNAM II,Celaya,Ascenso MX Apertura,?
2420,Luis Télles,Defensive Midfield,26,700 Th. €,Mexico,FC Juárez,Ascenso MX Apertura,Leones Negros,Ascenso MX Apertura,?
2421,Ricardo Chávez,Right-Back,23,700 Th. €,Mexico,Cimarrones,Ascenso MX Apertura,FC Juárez,Ascenso MX Apertura,?
2422,Luis Tiptón,Left-Back,26,700 Th. €,Colombia,CD América,Liga Águila II,Cortuluá,Cortuluá,?
2423,Markel Etxeberria,Right-Back,23,700 Th. €,Spain,Bilbao Athletic,2ª B - Grupo II,CD Numancia,LaLiga2,Free Transfer
2424,Yeong-cheol Jo,Left Winger,29,700 Th. €,"Korea, South",Ulsan,K League 1,Gyeongnam FC,K League 1,?
2425,Igor,Centre-Back,20,700 Th. €,Brazil,RB Salzburg,Bundesliga,Austria Vienna,Bundesliga,Loan
2426,Filipe Ferreira,Left-Back,27,700 Th. €,Portugal,Paços Ferreira,Ledman Liga Pro,Sturm Graz,Bundesliga,Free Transfer
2427,Oleksiy Khoblenko,Centre-Forward,24,700 Th. €,Ukraine,Chornomorets,Premier Liga,Dinamo Brest,Vysheyshaya Liga,?
2428,Giorgi Arabidze,Right Winger,20,700 Th. €,Georgia,Shakhtar II,Shakhtar II,Nacional,Liga NOS,?
2429,Elvis Manu,Left Winger,25,700 Th. €,Netherlands,Genclerbirligi,1.Lig,Akhisarspor,Süper Lig,Free Transfer
2430,Abraham Frimpong,Centre-Back,25,700 Th. €,Ghana,Red Star,SuperLiga,Ferencváros,NB I.,300 Th. €
2431,Vaclav Pilar,Left Midfield,29,700 Th. €,Czech Republic,Viktoria Plzen,HET Liga,Sigma Olomouc,HET Liga,?
2432,Alexandre Guedes,Centre-Forward,24,700 Th. €,Portugal,Desportivo Aves,Liga NOS,Vit. Guimarães,Liga NOS,700 Th. €
2433,Mouhssine Moutouali,Right Winger,32,700 Th. €,Morocco,Al Rayyan,Stars League,Al Ahli,Stars League,Free Transfer
2434,Kevin Großkreutz,Right-Back,30,700 Th. €,Germany,SV Darmstadt 98,2.Bundesliga,KFC Uerdingen,3.Liga,350 Th. €
2435,Fede Vico,Left Winger,24,700 Th. €,Spain,CD Lugo,LaLiga2,CD Leganés,LaLiga,Free Transfer
2436,Naldo,Defensive Midfield,28,700 Th. €,Brazil,Ceará SC,Série A,Al-Feiha,Professional League,?
2437,João Schmidt,Central Midfield,25,700 Th. €,Brazil,Atalanta,Serie A,Rio Ave FC,Liga NOS,Loan
